순번,시리즈,곡명,아티스트,비고
1,지브라베타,The Steps of Positano,Chris Botti,
2,지브라베타,Lovely Day,Bill Withers,
3,지브라베타,"Variations On An Original Theme, Op. 36 ""Enigma"": 9. Nimrod (Adagio)","레너드 번스타인, BBC 교향악단",
4,지브라베타,친해지지 말아요,선우정아,
5,지브라베타,새벽빛,다린,
6,지브라베타,Desafinado,"사카모토 류이치, Jaques Morelenbaum, Paula Morelenbaum",
7,지브라베타,So Easy (To Fall In Love),Olivia Dean,
8,지브라베타,Remember,Sam Ock,
9,지브라베타,Rosa Mundi,"Gavin Sutherland, 로열 발레 신포니아",
10,지브라베타,You Must Believe In Spring (feat. Tedd Firth),Melissa Errico,
11,지브라베타,I Want You (Single Version),Marvin P. Gaye,
12,지브라베타,You've Got a Friend,James Taylor,
13,지브라베타,The Christmas Song,오노 리사,
14,지브라베타,Theme from The Russia House,런던 심포니 오케스트라,Vol.12 · 노트 확보
15,지브라베타,새해 복,장기하와 얼굴들,Vol.13 · 노트 확보 · 2026 새해 발행
16,지브라베타,Can't Stop the Music,Village People,
17,지브라베타,Both Sides Now,Joni Mitchell,
18,지브라베타,Tonight,권순관,
19,지브라베타,Love Is Like Oxygen,The Sweet,Vol.16 · 카드 확보
20,지브라베타,Via da questo mare,Sergio Cammariere,Vol.17 · 노트 확보
21,지브라베타,Everybody's Gotta Learn Sometime,Beck,Vol.18 · 노트 확보
22,지브라베타,Sunny Came Home,Shawn Colvin,Vol.19 · 노트 확보
23,지브라베타,고양이,시인과 촌장,Vol.20 · 노트 확보 · 원본 카드에 vol.19로 오기
24,지브라베타,Run,마이 앤트 메리,Vol.21 · 노트 확보
25,지브라베타,Beatrice,루이스 바칼로프,큐레이터 데스크 에세이 연결(일 포스티노) · Vol.22 · 노트 확보
26,지브라베타,1979 (Remastered 2012),The Smashing Pumpkins,큐레이터 데스크 에세이 연결 · Vol.23 · 노트 확보
27,지브라베타,Down In Brazil,Michael Franks,Vol.24 · 노트 확보
28,지브라베타,넌 쉽게 말했지만,"조원선, 윤상",Vol.25 · 노트 확보
29,지브라베타,나쁜 (with 윤상) [2012 월간 윤종신 10월호],윤종신,Vol.26 · 노트+큐레이터 데스크 에세이 확보 · 지면형 디자인 전환점
30,지브라베타,"Lo, the Full, Final Sacrifice, Op. 26: Amen","Amy Dickson, 니콜라스 콜론, 오로라 오케스트라",Vol.27 · 노트 확보(확정)
